LocationID,Location,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude
32,Laghman -> Qarghayi,Laghman,34.6897687,70.1455805
33,Badakhshan -> Shaki,Badakhshan,36.7347725,70.8119953
34,Nangarhar -> Pachieragam,Nangarhar,34.1718313,70.6216794
35,Kunar -> Khaskunar,Kunar,34.8465893,71.097317
36,Takhar -> Hazarsumuch,Takhar,36.6698013,69.4784541
37,Jawzjan -> Khanaqa,Jawzjan,36.8969692,65.6658568
38,Balkh -> Keshendeh,Balkh,36.8909158,67.1894488
39,Badakhshan -> Baharak,Badakhshan,36.7347725,70.8119953
40,Balkh -> Marmul,Balkh,36.8909158,67.1894488
41,Takhar -> Farkhar,Takhar,36.6698013,69.4784541
42,Samangan -> Dara-e- Suf-e- Payin,Samangan,35.9807296,67.5708536
43,Sar-e-Pul -> Sar-e-Pul,Sar-e-Pul,35.6707473,66.0463534
44,Balkh -> Chemtal,Balkh,36.8909158,67.1894488
45,Laghman -> Dawlatshah,Laghman,34.6897687,70.1455805
46,Laghman -> Alishang,Laghman,34.6897687,70.1455805
47,Balkh -> Dawlatabad,Balkh,36.8909158,67.1894488
48,Kunar -> Dangam,Kunar,34.8465893,71.097317
49,Baghlan -> Andarab,Baghlan,35.8042947,69.2877535
50,Faryab -> Dawlatabad,Faryab,36.0795613,64.905955
51,Nuristan -> Kamdesh,Nuristan,35.3250223,70.9071236
52,Kunar -> Nari,Kunar,34.8465893,71.097317
53,Laghman -> Mehtarlam,Laghman,34.6897687,70.1455805
54,Kunar -> Barkunar,Kunar,34.8465893,71.097317
55,Takhar -> Eshkashem,Takhar,36.6698013,69.4784541
56,Balkh -> Sharak-e-Hayratan,Balkh,36.8909158,67.1894488
57,Baghlan -> Doshi,Baghlan,35.8042947,69.2877535
58,Baghlan -> Pul-e- khumri,Baghlan,35.8042947,69.2877535
59,Kunar -> Watapur,Kunar,34.8465893,71.097317
60,Nangarhar -> Lalpur,Nangarhar,34.1718313,70.6216794
61,Kunar -> Chawkay,Kunar,34.8465893,71.097317
62,Baghlan -> Pul-e-Hesar,Baghlan,35.8042947,69.2877535
63,Jawzjan -> Darzab,Jawzjan,36.8969692,65.6658568
64,Sar-e-Pul -> Gosfandi,Sar-e-Pul,35.6707473,66.0463534
65,Kunar -> Dara-e-Pech,Kunar,34.8465893,71.097317
66,Nangarhar -> Durbaba,Nangarhar,34.1718313,70.6216794
67,Baghlan -> Baghlan-e-Jadid,Baghlan,35.8042947,69.2877535
68,Sar-e-Pul -> Sancharak(sangchark),Sar-e-Pul,35.6707473,66.0463534
69,Nangarhar -> Batikot,Nangarhar,34.1718313,70.6216794
70,Balkh -> Charkent,Balkh,36.8909158,67.1894488
71,Jawzjan -> Qushtepa,Jawzjan,36.8969692,65.6658568
72,Takhar -> Khwajabahawuddin,Takhar,36.6698013,69.4784541
73,Nangarhar -> Sherzad,Nangarhar,34.1718313,70.6216794
74,Nangarhar -> Shinwar,Nangarhar,34.1718313,70.6216794
75,Balkh -> Sholgareh,Balkh,36.8909158,67.1894488
76,Nangarhar -> Achin,Nangarhar,34.1718313,70.6216794
77,Nuristan -> Nurgeram,Nuristan,35.3250223,70.9071236
78,Nangarhar -> Chaparhar,Nangarhar,34.1718313,70.6216794
79,Kunduz -> Khanabad,Kunduz,36.8599307,68.7154975
80,Takhar -> Khwajaghar,Takhar,36.6698013,69.4784541
81,Samangan -> Dara-e Suf-e-Bala,Samangan,35.9807296,67.5708536
82,Faryab -> Shirintagab,Faryab,36.0795613,64.905955
